"storeName","shoppingCenter","address.addressLine1","address.city","address.jurisdictionCode","address.postalCode","geoLocation.latitude","geoLocation.longitude"
"Brookfield Retail Store","The Corners Of Brookfield","20200 Union Street","Brookfield","WI","53045",43.035436,-88.163882
"Hilldale Retail Store","Hilldale Shopping Center","434 N. Midvale Blvd","Madison","WI","53705",43.07185263,-89.453067
"South Barrington Retail Store","The Arboretum Of South Barrington","100 West Higgins Road","South Barrington","IL","60010",42.07477565,-88.185193
"Old Orchard Retail Store","Old Orchard Center","4999 Old Orchard Center","Skokie","IL","60077",42.0607916,-87.7480908
"Oakbrook Retail Store","Oakbrook Center","2202 Oakbrook Center","Oak Brook","IL","60523",41.851651,-87.954382
"Mall of America Retail Store","Mall Of America","100 South Ave","Bloomington","MN","55425",44.85334404,-93.23972273
"Partridge Creek Retail Store","The Mall At Partridge Creek","17420 Hall Rd","Clinton Township","MI","48038",42.625782,-82.946465
"Kenwood Retail Store","The Kenwood Collection","5901 East Galbraith Road","Cincinnati","OH","45236",39.20474926,-84.37408367
"Easton Town Center Retail Store","Easton Town Center","4222 Easton Loop West","Columbus","OH","43219",40.05414453,-82.91690648
"Legacy Village Retail Store","Legacy Village","25225 Cedar Rd","Lyndhurst","OH","44124",41.502696,-81.500262
"Town Center Crossing Retail Store","Town Center Crossing","4401 W. 119 Street","Leawood","KS","66209",38.91163461,-94.636781
"Ross Park Retail Store","Ross Park Mall","1000 Ross Park Mall Drive","Pittsburgh","PA","15237",40.54259337,-80.00912073
"Boulevard Retail Store","Boulevard Consumer Square","1565 Niagara Falls Boulevard,","Amherst","NY","14228",42.99823954,-78.82147536
"Eastview Retail Store","Eastview Mall","60 Eastview Mall Drive","Victor","NY","14564",43.026312,-77.443766
"Fayetteville Retail Store","Towne Center Mall","304 Towne Center Drive","Fayetteville","NY","13066",43.03323757,-76.0206057
"Stonefield Retail Store","The Shops At Stonefield","2015 Bond Street","Charlottesville","VA","22901",38.063896,-78.490876
"Pike and Rose Retail Store","Pike And Rose","925 Rose Ave","North Bethesda","MD","20852",39.05133434,-77.11637006
"Short Pump Retail Store","Short Pump Town Center","11800 West Broad Street,","Richmond","VA","23233",37.65612296,-77.61926815
"Saucon Valley Retail Store","The Promenade Shops At Saucon Valley","3301 Center Valley Pkwy","Center Valley","PA","18034",40.558716,-75.413718
"King Of Prussia Retail Store","The Plaza At King Of Prussia Mall","160 North Gulph Road","King Of Prussia","PA","19406",40.08817044,-75.39265811
"Colonie Retail Store","Colonie Center","131 Colonie Center","Albany","NY","12205",42.70971398,-73.81810883
"Sagemore Retail Store","The Promenade At Sagemore","500 Route 73 S","Marlton","NJ","08053",39.876261,-74.92044857
"Adirondack Outlet Store","Adirondack Outlet Mall","1444 U.S. 9","Lake George","NY","12845",43.3660443,-73.697812
"Paramus Park Retail Store","Paramus Park Mall","700 Paramus Park","Paramus","NJ","07652",40.95738893,-74.06872124
"Freehold Retail Store","Freehold Raceway Mall","3710 Route 9 South","Freehold","NJ","07728",40.25214437,-74.29943004
"Burlington, VT","Burlington Town Center","101 Cherry Street","Burlington","VT","05401",44.47893,-73.21398
"Ridge Hill Retail Store","Ridge Hill Mall","1 Ridge Hill Boulevard","Yonkers","NY","10710",40.96266157,-73.85561059
"Williston Retail Store","Finney Crossing","69 Market Street","Williston","VT","05495",44.44878371,-73.10745057
"Danbury Retail Store","Danbury Fair","7 Backus Avenue","Danbury","CT","06810",41.379563,-73.479782
"Lynnhaven Retail Store","Lynnhaven Mall","701 Lynnhaven Parkway","Virginia Beach","VA","23452",36.81690114,-76.07051843
"Smith Haven Retail Store","Smith Haven Mall","220 Smith Haven Mall","Lake Grove","NY","11755",40.86481821,-73.12911014
"Yale Retail Store","The Shops At Yale","272 Elm Street","New Haven","CT","06511",41.31078257,-72.93076236
"Mountain Farms Retail Store","Mountain Farms Mall","353 Russell St","Hadley","MA","01035",42.35676022,-72.55169733
"Powerhouse Retail Store","PowerHouse Mall","8 Glen Road","West Lebanon","NH","03784",43.6337129,-72.31604264
"Evergreen Walk Retail Store","The Promenade Shops At Evergreen Walk","75 Evergreen Way","South Windsor","CT","06074",41.809471,-72.55742
"Blackstone Valley Retail Store","The Shoppes At Blackstone Valley","70 Worcester - Providence Turnpike,","Millbury","MA","01527",42.19918866,-71.77922195
"Concord Outlet Store",,"55 Fort Eddy Road","Concord","NH","03301",43.21117151,-71.53284142
"Nashua Outlet Store","Nashua Mall","31 Gusabel Avenue","Nashua","NH","03063",42.765203,-71.496335
"North Conway Outlet Store","Settler's Crossing","1390 White Mountain Highway","North Conway","NH","03860",44.0167893,-71.1149551
"Tuscan Village Retail Store","Tuscan Village","3 South Village Drive","Salem","NH","03079",42.77002715,-71.22433582
"Garden City Retail Store","Garden City Center","200 Hillside Road","Cranston","RI","02920",41.75808759,-71.45763632
"Wayside Retail Store","Wayside Commons","6 Wayside Road","Burlington","MA","01803",42.485813,-71.192459
"Legacy Place Retail Store","Legacy Place","340 Legacy Place","Dedham","MA","02026",42.2323489,-71.1789134
"Mansfield Retail Store","Mansfield Crossing","280 School Street","Mansfield","MA","02048",42.012716,-71.230951
"Seaport Retail Store","One Seaport","56 Seaport Blvd.","Boston","MA","02210",42.35308874,-71.0476676
"Lafayette Outlet Store","Lafayette Crossing","35 Lafayette Road","North Hampton","NH","03862",42.968557,-70.8351061
"Wareham Outlet Store","Wareham Crossing Mall","2421 Cranberry Hwy. Rt. 28","Wareham","MA","02571",41.7741903,-70.7420536
"Park Meadows Retail Store","Park Meadows","8525 Park Meadows Center Drive","Lone Tree","CO","80124",39.56268068,-104.8754093
"Home Store","L.L.Bean Flagship Campus","12 Nathan Nye Street","Freeport","ME","04032",43.857218,-70.104677
"Bike, Boat, & Ski Store","L.L.Bean Flagship Campus","57 Main Street","Freeport","ME","04032",43.85702,-70.103687
"Flagship Retail Store","L.L.Bean Flagship Campus","95 Main Street","Freeport","ME","04032",43.857865,-70.103352
"Freeport Outlet Store","Village Station","1 Freeport Village Station","Freeport","ME","04032",43.8558189,-70.102834
"Mashpee Retail Store","Mashpee Commons","7 Market Street","Mashpee","MA","02649",41.61741,-70.490694
"Bangor Outlet Store","Parkade Shopping Center","534 Stillwater Avenue","Bangor","ME","04401",44.83021546,-68.75609453
"Ellsworth Outlet Store",,"150 High Street","Ellsworth","ME","04605",44.53709477,-68.41199381
"Park City Retail Store","The Kimball On Main","675 Main Street","Park City","UT","84060",40.64645604,-111.4976155
