"id","fulfillmentSite","storeName","shoppingCenter","address","phoneNumber","geoLocation","timezone","storeType","isInventoryExposedOnline","isBopisEnabled","isCurbsidePickupEnabled","storePickupLocationName","storeHours","distanceInMiles"
1190,"1190","Brookfield Retail Store","The Corners Of Brookfield","{""addressLine1"":""20200 Union Street"",""city"":""Brookfield"",""jurisdictionCode"":""WI"",""postalCode"":""53045""}","1-888-534-5812","{""latitude"":43.035436,""longitude"":-88.163882}","America/Chicago","Retail",true,true,true,"The Corners Of Brookfield","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",26.71
1370,"1370","Hilldale Retail Store","Hilldale Shopping Center","{""addressLine1"":""434 N. Midvale Blvd"",""city"":""Madison"",""jurisdictionCode"":""WI"",""postalCode"":""53705""}","1-888-615-9976","{""latitude"":43.07185263,""longitude"":-89.453067}","America/Chicago","Retail",true,true,true,"Hilldale Shopping Center","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",68.29
790,"0790","South Barrington Retail Store","The Arboretum Of South Barrington","{""addressLine1"":""100 West Higgins Road"",""city"":""South Barrington"",""jurisdictionCode"":""IL"",""postalCode"":""60010""}","1-888-552-5548","{""latitude"":42.07477565,""longitude"":-88.185193}","America/Chicago","Retail",true,true,true,"The Arboretum Of South Barrington","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9}]",93.13
780,"0780","Old Orchard Retail Store","Old Orchard Center","{""addressLine1"":""4999 Old Orchard Center"",""city"":""Skokie"",""jurisdictionCode"":""IL"",""postalCode"":""60077""}","1-888-552-5564","{""latitude"":42.0607916,""longitude"":-87.7480908}","America/Chicago","Retail",true,true,true,"Old Orchard Center","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",96.69
1350,"1350","Oakbrook Retail Store","Oakbrook Center","{""addressLine1"":""2202 Oakbrook Center"",""city"":""Oak Brook"",""jurisdictionCode"":""IL"",""postalCode"":""60523""}","1-888-298-4270","{""latitude"":41.851651,""longitude"":-87.954382}","America/Chicago","Retail",true,true,true,"Oakbrook Center","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",109.2
990,"0990","Mall of America Retail Store","Mall Of America","{""addressLine1"":""100 South Ave"",""city"":""Bloomington"",""jurisdictionCode"":""MN"",""postalCode"":""55425""}","1-888-615-9974","{""latitude"":44.85334404,""longitude"":-93.23972273}","America/Chicago","Retail",true,true,true,"Mall Of America","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""21:00"",""totalOpenHours"":11},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""10:30"",""closeTime"":""19:00"",""totalOpenHours"":8.5},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",269.69
1180,"1180","Partridge Creek Retail Store","The Mall At Partridge Creek","{""addressLine1"":""17420 Hall Rd"",""city"":""Clinton Township"",""jurisdictionCode"":""MI"",""postalCode"":""48038""}","1-888-534-5796","{""latitude"":42.625782,""longitude"":-82.946465}","America/New_York","Retail",true,true,true,"The Mall At Partridge Creek","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""12:00"",""closeTime"":""18:00"",""totalOpenHours"":6},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",270.53
1130,"1130","Kenwood Retail Store","The Kenwood Collection","{""addressLine1"":""5901 East Galbraith Road"",""city"":""Cincinnati"",""jurisdictionCode"":""OH"",""postalCode"":""45236""}","1-888-534-5802","{""latitude"":39.20474926,""longitude"":-84.37408367}","America/New_York","Retail",true,true,true,"The Kenwood Collection","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""11:00"",""closeTime"":""18:00"",""totalOpenHours"":7},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9}]",352.43
1110,"1110","Easton Town Center Retail Store","Easton Town Center","{""addressLine1"":""4222 Easton Loop West"",""city"":""Columbus"",""jurisdictionCode"":""OH"",""postalCode"":""43219""}","1-888-534-5809","{""latitude"":40.05414453,""longitude"":-82.91690648}","America/New_York","Retail",true,true,true,"Easton Town Center","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""12:00"",""closeTime"":""18:00"",""totalOpenHours"":6},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""20:00"",""totalOpenHours"":10}]",357.9
1000,"1000","Legacy Village Retail Store","Legacy Village","{""addressLine1"":""25225 Cedar Rd"",""city"":""Lyndhurst"",""jurisdictionCode"":""OH"",""postalCode"":""44124""}","1-888-534-5808","{""latitude"":41.502696,""longitude"":-81.500262}","America/New_York","Retail",true,true,true,"Legacy Village","[{""calendarDate"":""2022-10-20"",""dayOfWeek"":""Thursday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-21"",""dayOfWeek"":""Friday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-22"",""dayOfWeek"":""Saturday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-23"",""dayOfWeek"":""Sunday"",""openTime"":""12:00"",""closeTime"":""18:00"",""totalOpenHours"":6},{""calendarDate"":""2022-10-24"",""dayOfWeek"":""Monday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-25"",""dayOfWeek"":""Tuesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9},{""calendarDate"":""2022-10-26"",""dayOfWeek"":""Wednesday"",""openTime"":""10:00"",""closeTime"":""19:00"",""totalOpenHours"":9}]",365.9
