,store_uid,store_desc,store_name,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude
1,48187_ikea_canton,IKEA,Canton,41640 Ford Road,,Canton,MI,48187,"41640 Ford Road Canton, MI 48187",42.3252624,-83.4513499
2,55425_ikea_twin_cities,IKEA,Twin Cities,8000 IKEA Way,,Bloomington,MN,55425,"8000 IKEA Way Bloomington, MN 55425",44.8586403,-93.2448492
3,28262_ikea_charlotte,IKEA,Charlotte,8300 IKEA Boulevard,,Charlotte,NC,28262,"8300 IKEA Boulevard Charlotte, NC 28262",35.29331,-80.7650357
4,63108_ikea_st._louis,IKEA,St. Louis,1 IKEA Way,,St. Louis,MO,63108,"1 IKEA Way St. Louis, MO 63108",38.6335827,-90.2449962
5,21236_ikea_baltimore,IKEA,Baltimore,8352 Honeygo Boulevard,,Baltimore,MD,21236,"8352 Honeygo Boulevard Baltimore, MD 21236",39.3753517,-76.4619125
6,20740_ikea_college_park,IKEA,College Park,10100 Baltimore Avenue,,College Park,MD,20740,"10100 Baltimore Avenue College Park, MD 20740",39.0206756,-76.928835
7,02072_ikea_stoughton,IKEA,Stoughton,One IKEA Way,,Stoughton,MA,02072,"One IKEA Way Stoughton, MA 02072",42.1371268,-71.0684562
8,66202_ikea_merriam,IKEA,Merriam,6000 IKEA Way,,Merriam,KS,66202,"6000 IKEA Way Merriam, KS 66202",39.019658,-94.6905789
9,60440_ikea_bolingbrook,IKEA,Bolingbrook,750 E. Boughton,,Bolingbrook,IL,60440,"750 E. Boughton Bolingbrook, IL 60440",41.7280902,-88.037837
10,60173_ikea_schaumburg,IKEA,Schaumburg,1800 East McConner Parkway,,Schaumburg,IL,60173,"1800 East McConner Parkway Schaumburg, IL 60173",42.0566646,-88.0365045
11,30363_ikea_atlanta,IKEA,Atlanta,441 16th Street,,Atlanta,GA,30363,"441 16th Street Atlanta, GA 30363",33.7888368,-84.4051193
12,46037_ikea_fishers,IKEA,Fishers,11400 IKEA Way,,Fishers,IN,46037,"11400 IKEA Way Fishers, IN 46037",39.9534162,-86.0073736
13,33605_ikea_tampa,IKEA,Tampa,1103 N. 22nd Street,,Tampa,FL,33605,"1103 N. 22nd Street Tampa, FL 33605",27.9542754,-82.4316019
14,33325_ikea_sunrise,IKEA,Sunrise,151 NW 136th Ave,,Sunrise,FL,33325,"151 NW 136th Ave Sunrise, FL 33325",26.122275,-80.33035
15,33172_ikea_miami,IKEA,Miami,1801 NW 117th Ave,,Sweetwater,FL,33172,"1801 NW 117th Ave Sweetwater, FL 33172",25.7914278,-80.3836105
16,53154_ikea_oak_creek,IKEA,Oak Creek,7500 S. IKEA Way,,Oak Creek,WI,53154,"7500 S. IKEA Way Oak Creek, WI 53154",42.9076915,-87.9386886
17,84020_ikea_draper,IKEA,Draper,67 West IKEA Way,,Draper,UT,84020,"67 West IKEA Way Draper, UT 84020",40.5086171,-111.8931892
18,78665_ikea_round_rock,IKEA,Round Rock,1 IKEA Way,,Round Rock,TX,78665,"1 IKEA Way Round Rock, TX 78665",30.5578282,-97.6897453
19,98057_ikea_renton,IKEA,Renton,601 S.W. 41st Street,,Renton,WA,98057,"601 S.W. 41st Street Renton, WA 98057",47.4426763,-122.2280158
20,77024_ikea_houston,IKEA,Houston,7810 Katy Freeway,,Houston,TX,77024,"7810 Katy Freeway Houston, TX 77024",29.7855758,-95.4715555
21,22192_ikea_woodbridge,IKEA,Woodbridge,2900 Potomac Mills Circle,,Woodbridge,VA,22192,"2900 Potomac Mills Circle Woodbridge, VA 22192",38.6450421,-77.2898272
22,78233_ikea_live_oak,IKEA,Live Oak,1000 IKEA RBFCU Parkway,,Live Oak,TX,78233,"1000 IKEA RBFCU Parkway Live Oak, TX 78233",29.5665157,-98.3381062
23,32839_ikea_orlando,IKEA,Orlando,4092 Eastgate Dr,,Orlando,FL,32839,"4092 Eastgate Dr Orlando, FL 32839",28.4829579,-81.4266415
24,75034_ikea_frisco,IKEA,Frisco,7171 IKEA Drive,,Frisco,TX,75034,"7171 IKEA Drive Frisco, TX 75034",33.0937506,-96.8213668
25,23502_ikea_norfolk,IKEA,Norfolk,1500 IKEA Way,,Norfolk,VA,23502,"1500 IKEA Way Norfolk, VA 23502",36.8760812,-76.2013761
26,15205_ikea_pittsburgh,IKEA,Pittsburgh,2001 Park Manor Boulevard,,Pittsburgh,PA,15205,"2001 Park Manor Boulevard Pittsburgh, PA 15205",40.4517367,-80.1681502
27,75052_ikea_grand_prairie,IKEA,Grand Prairie,1000 IKEA Way,,Grand Prairie,TX,75052,"1000 IKEA Way Grand Prairie, TX 75052",32.6906294,-97.022627
28,38016_ikea_memphis,IKEA,Memphis,7900 IKEA Way,,Memphis,TN,38016,"7900 IKEA Way Memphis, TN 38016",35.1902921,-89.7986837
29,97220_ikea_portland,IKEA,Portland,10280 NE Cascades Parkway,,Portland,OR,97220,"10280 NE Cascades Parkway Portland, OR 97220",45.5712001,-122.5535877
30,43240_ikea_columbus,IKEA,Columbus,1900 IKEA Way,,Columbus,OH,43240,"1900 IKEA Way Columbus, OH 43240",40.1501367,-82.9667899
31,11231_ikea_brooklyn,IKEA,Brooklyn,1 Beard Street,,Brooklyn,NY,11231,"1 Beard Street Brooklyn, NY 11231",40.672219,-74.0115416
32,11801_ikea_long_island,IKEA,Long Island,1100 Broadway Mall,,Hicksville,NY,11801,"1100 Broadway Mall Hicksville, NY 11801",40.7748383,-73.5310569
33,19148_ikea_south_philadelphia,IKEA,South Philadelphia,2206 S. Christopher Columbus Blvd,,Philadelphia,PA,19148,"2206 S. Christopher Columbus Blvd Philadelphia, PA 19148",39.9171256,-75.1417686
34,89148_ikea_las_vegas,IKEA,Las Vegas,6500 IKEA Way,,Las Vegas,NV,89148,"6500 IKEA Way Las Vegas, NV 89148",36.0688447,-115.2806099
