,store_uid,store_desc,store_name,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude
0,92780_microcenter_tustin,Micro Center,Tustin,1100 E Edinger Ave,,Tustin,CA,92780,"1100 E Edinger Ave Tustin, CA 92780",33.7245358,-117.8328829
1,22031_microcenter_fairfax,Micro Center,Fairfax,3089 Nutley St,,Fairfax,VA,22031,"3089 Nutley St Fairfax, VA 22031",38.8689425,-77.2615284
2,45241_microcenter_sharonville,Micro Center,Sharonville,11755 Mosteller Rd,,Sharonville,OH,45241,"11755 Mosteller Rd Sharonville, OH 45241",39.2882802,-84.4298998
3,75243_microcenter_dallas,Micro Center,Dallas,13929 N Central Expy,,Dallas,TX,75243,"13929 N Central Expy Dallas, TX 75243",32.9374633,-96.7503193
4,44124_microcenter_mayfield_heights,Micro Center,Mayfield Heights,1349 Som Center Rd,Eastgate Shopping Center,Mayfield Heights,OH,44124,"1349 Som Center Rd Mayfield Heights, OH 44124",41.5239851,-81.4373282
5,19087_microcenter_st._davids,Micro Center,St. Davids,550 E Lancaster Ave Ste C,,St Davids,PA,19087,"550 E Lancaster Ave Ste C St Davids, PA 19087",40.0401182,-75.3694827
6,43214_microcenter_columbus,Micro Center,Columbus,747 Bethel Rd,,Columbus,OH,43214,"747 Bethel Rd Columbus, OH 43214",40.0623713,-83.0408365
7,77081_microcenter_houston,Micro Center,Houston,5305 S Rice Ave,,Houston,TX,77081,"5305 S Rice Ave Houston, TX 77081",29.7249018,-95.46657
8,11232_microcenter_brooklyn,Micro Center,Brooklyn,850 3rd Ave,,Brooklyn,NY,11232,"850 3rd Ave Brooklyn, NY 11232",40.6588044,-74.003448
9,10704_microcenter_yonkers,Micro Center,Yonkers,750-A Central Park Ave,,Yonkers,NY,10704,"750-A Central Park Ave Yonkers, NY 10704",40.9248553,-73.8562871
10,63144_microcenter_brentwood,Micro Center,Brentwood,87 Brentwood Promenade Ct,,Brentwood,MO,63144,"87 Brentwood Promenade Ct Brentwood, MO 63144",38.6261802,-90.3432893
11,11590_microcenter_westbury,Micro Center,Westbury,655 Merrick Ave,,Westbury,NY,11590,"655 Merrick Ave Westbury, NY 11590",40.7395606,-73.5858212
12,07504_microcenter_north_jersey,Micro Center,North Jersey,263 McLean Blvd,Route 20 Retail Center,Paterson,NJ,07504,"263 McLean Blvd Paterson, NJ 07504",40.9068688,-74.1332633
13,55416_microcenter_st._louis_park,Micro Center,St. Louis Park,3710 Highway 100 South,,St. Louis Park,MN,55416,"3710 Highway 100 South St. Louis Park, MN 55416",44.9502596,-93.3477824
14,48071_microcenter_madison_heights,Micro Center,Madison Heights,32800 Concord Dr,,Madison Heights,MI,48071,"32800 Concord Dr Madison Heights, MI 48071",42.5329448,-83.1145486
15,21234_microcenter_parkville,Micro Center,Parkville,1957 E Joppa Rd,,Parkville,MD,21234,"1957 E Joppa Rd Parkville, MD 21234",39.3969616,-76.5454815
16,20852_microcenter_rockville,Micro Center,Rockville,1776 E Jefferson ST Ste 203,,Rockville,MD,20852,"1776 E Jefferson ST Ste 203 Rockville, MD 20852",39.0572258,-77.1245166
17,02139_microcenter_cambridge,Micro Center,Cambridge,730 Memorial Dr,,Cambridge,MA,02139,"730 Memorial Dr Cambridge, MA 02139",42.3572095,-71.1143075
18,60647_microcenter_chicago,Micro Center,Chicago,2645 N Elston Ave,,Chicago,IL,60647,"2645 N Elston Ave Chicago, IL 60647",41.9306749,-87.6826906
19,66212_microcenter_overland_park,Micro Center,Overland Park,9294 Metcalf Ave,Regency Park Shopping Center,Overland Park,KS,66212,"9294 Metcalf Ave Overland Park, KS 66212",38.9605464,-94.6701763
20,60559_microcenter_westmont,Micro Center,Westmont,80 E Ogden Ave,,Westmont,IL,60559,"80 E Ogden Ave Westmont, IL 60559",41.8113505,-87.9725279
21,30096_microcenter_duluth,Micro Center,Duluth,2340 Pleasant Hill Rd,,Duluth,GA,30096,"2340 Pleasant Hill Rd Duluth, GA 30096",33.9642783,-84.1374123
22,30067_microcenter_marietta,Micro Center,Marietta,1275 Powers Ferry Rd SE Ste 50,,Marietta,GA,30067,"1275 Powers Ferry Rd SE Ste 50 Marietta, GA 30067",33.9211202,-84.4662105
23,80237_microcenter_denver,Micro Center,Denver,8000 E Quincy Ave,,Denver,CO,80237,"8000 E Quincy Ave Denver, CO 80237",39.6382964,-104.8973215
24,11367_microcenter_flushing,Micro Center,Flushing,71-43 Kissena Blvd,,Queens,NY,11367,"71-43 Kissena Blvd Queens, NY 11367",40.728866,-73.8150369
