store_add1,store_add2,store_add3,store_add4
"
        7580 W. Bell Rd","
        Glendale, AZ 85308","
        7580 W. Bell Rd","
        Glendale, AZ 85308"
"
        11732 W Broad St","
        Suite PP1B","
        Richmond, VA 23233","
        11732 W Broad St"
"
        1851 Fountain Dr.","
        Reston, VA 20190","
        1851 Fountain Dr.","
        Reston, VA 20190"
"
        2800 Clarendon Blvd.","
        R-750","
        Arlington, VA 22201","
        2800 Clarendon Blvd."
"
        6191 S. State St","
        Suite 400","
        Murray, UT 84107","
        6191 S. State St"
"
        1455 Lake Woodlands Drive","
        The Woodlands, TX 77380","
        1455 Lake Woodlands Drive","
        The Woodlands, TX 77380"
"
        1200 Main Street","
        Southlake, TX 76092","
        1200 Main Street","
        Southlake, TX 76092"
"
        333 NW Loop 410","
        San Antonio, TX 78216","
        333 NW Loop 410","
        San Antonio, TX 78216"
"
        8460 Parkwood Blvd.","
        Plano, TX 75024","
        8460 Parkwood Blvd.","
        Plano, TX 75024"
"
        5466 FM 1960 West","
        Houston, TX 77069","
        5466 FM 1960 West","
        Houston, TX 77069"
"
        2511 Post Oak Blvd.","
        Houston, TX 77056","
        2511 Post Oak Blvd.","
        Houston, TX 77056"
"
        4601 West Freeway","
        Suite 500","
        Fort Worth, TX 76107","
        4601 West Freeway"
"
        151 East Stacy Road","
        Fairview, TX 75069","
        151 East Stacy Road","
        Fairview, TX 75069"
"
        7700 West Northwest Highway","
        Dallas, TX 75225","
        7700 West Northwest Highway","
        Dallas, TX 75225"
"
        13710 Dallas Parkway","
        Suite B","
        Dallas, TX 75240","
        13710 Dallas Parkway"
"
        18760 Gulf Freeway","
        Friendswood, TX 77546","
        18760 Gulf Freeway","
        Friendswood, TX 77546"
"
        10400 W. North Avenue","
        Wauwatosa, WI 53226","
        10400 W. North Avenue","
        Wauwatosa, WI 53226"
"
        2437 Southcenter Mall","
        Tukwila, WA 98188","
        2437 Southcenter Mall","
        Tukwila, WA 98188"
"
        700 Bellevue Way N.E.","
        Suite 120","
        Bellevue, WA 98004","
        700 Bellevue Way N.E."
"
        8459 Leesburg Pike","
        Vienna, VA 22182","
        8459 Leesburg Pike","
        Vienna, VA 22182"
"
        9629 Research Blvd.","
        Austin, TX 78759","
        9629 Research Blvd.","
        Austin, TX 78759"
"
        4000 Arlington Highlands Blvd","
        Suite 101","
        Arlington, TX 76018","
        4000 Arlington Highlands Blvd"
"
        2121 Green Hills Village Dr","
        Nashville, TN 37215","
        2121 Green Hills Village Dr","
        Nashville, TN 37215"
"
        2130 Exeter Rd","
        Suite 103","
        Germantown, TN 38138","
        2130 Exeter Rd"
"
        150 Hillside Rd","
        Cranston, RI 02920","
        150 Hillside Rd","
        Cranston, RI 02920"
"
        8033 McKnight Road","
        Pittsburgh, PA 15237","
        8033 McKnight Road","
        Pittsburgh, PA 15237"
