,store_name,store_add1,store_add2,store_city,store_state,store_zip
0,Tustin,1100 E Edinger Ave,,Tustin,CA,92780
1,Fairfax,3089 Nutley St,,Fairfax,VA,22031
2,Sharonville,11755 Mosteller Rd,,Sharonville,OH,45241
3,Dallas,13929 N Central Expy,,Dallas,TX,75243
4,Mayfield Heights,1349 Som Center Rd,Eastgate Shopping Center,Mayfield Heights,OH,44124
5,St. Davids,550 E Lancaster Ave Ste C,,St Davids,PA,19087
6,Columbus,747 Bethel Rd,,Columbus,OH,43214
7,Houston,5305 S Rice Ave,,Houston,TX,77081
8,Brooklyn,850 3rd Ave,,Brooklyn,NY,11232
9,Yonkers,750-A Central Park Ave,,Yonkers,NY,10704
10,Brentwood,87 Brentwood Promenade Ct,,Brentwood,MO,63144
11,Westbury,655 Merrick Ave,,Westbury,NY,11590
12,North Jersey,263 McLean Blvd,Route 20 Retail Center,Paterson,NJ,07504
13,St. Louis Park,3710 Highway 100 South,,St. Louis Park,MN,55416
14,Madison Heights,32800 Concord Dr,,Madison Heights,MI,48071
15,Parkville,1957 E Joppa Rd,,Parkville,MD,21234
16,Rockville,1776 E Jefferson ST Ste 203,,Rockville,MD,20852
17,Cambridge,730 Memorial Dr,,Cambridge,MA,02139
18,Chicago,2645 N Elston Ave,,Chicago,IL,60647
19,Overland Park,9294 Metcalf Ave,Regency Park Shopping Center,Overland Park,KS,66212
20,Westmont,80 E Ogden Ave,,Westmont,IL,60559
21,Duluth,2340 Pleasant Hill Rd,,Duluth,GA,30096
22,Marietta,1275 Powers Ferry Rd SE Ste 50,,Marietta,GA,30067
23,Denver,8000 E Quincy Ave,,Denver,CO,80237
24,Flushing,71-43 Kissena Blvd,,Queens,NY,11367
