store_name,store_add1,store_add2,store_city,store_state,store_zip
"Tustin, California Computer Store",1100 E Edinger Ave,,Tustin,CA,92780
"St. Davids, Pennsylvania Computer Store",550 E Lancaster Ave Ste C,,St Davids,PA,19087
"Fairfax, Virginia Computer Store",3089 Nutley St,,Fairfax,VA,22031
"Mayfield Heights, Ohio Computer Store",1349 Som Center Rd,Eastgate Shopping Center,Mayfield Heights,OH ,44124
"Sharonville, Ohio Computer Store",11755 Mosteller Rd,,Sharonville,OH,45241
"Brooklyn, New York Computer Store",850 3rd Ave,,Brooklyn,NY,11232
"Dallas, Texas Computer Store",13929 N Central Expy,,Dallas,TX,75243
"Houston, Texas Computer Store",5305 S Rice Ave,,Houston,TX,77081
"Flushing, New York Computer Store",71-43 Kissena Blvd,,Queens,NY,11367
"Columbus, Ohio Computer Store",747 Bethel Rd,,Columbus,OH,43214
"Yonkers, New York Computer Store",750-A Central Park Ave,,Yonkers,NY,10704
"North Jersey, New Jersey Computer Store",263 McLean Blvd,Route 20 Retail Center,Paterson,NJ,07504
"Brentwood, Missouri Computer Store",87 Brentwood Promenade Ct,,Brentwood,MO,63144 
"St. Louis Park, Minnesota Computer Store",3710 Highway 100 South,,St. Louis Park,MN,55416
"Madison Heights, Michigan Computer Store",32800 Concord Dr,,Madison Heights,MI,48071
"Cambridge, Massachusetts Computer Store",730 Memorial Dr,,Cambridge,MA,02139
"Overland Park, Kansas Computer Store",9294 Metcalf Ave,Regency Park Shopping Center,Overland Park,KS,66212
"Westmont, Illinois Computer Store",80 E Ogden Ave,,Westmont,IL,60559
"Rockville, Maryland Computer Store",1776 E Jefferson ST Ste 203,,Rockville,MD,20852
"Parkville, Maryland Computer Store",1957 E Joppa Rd,,Parkville,MD,21234
"Chicago, Illinois Computer Store",2645 N Elston Ave,,Chicago,IL,60647
"Marietta, Georgia Computer Store",1275 Powers Ferry Rd SE Ste 50,,Marietta,GA,30067
"Westbury, New York Computer Store",655 Merrick Ave,,Westbury,NY,11590
"Duluth, Georgia Computer Store",2340 Pleasant Hill Rd,,Duluth,GA,30096
"Denver, Colorado Computer Store",8000 E Quincy Ave,,Denver,CO,80237
